x,y,text
91,364,"@Cacheable(cacheNames = USERS... <p> ize
"
65,376,"ele ese (269 * This is scheduled to get fired everyday, at 01:00 (am). i eeedey Deco ad
"
91,413,"public List<UserDTO> usersToUserD.. 27 ey, fen ""wy"" eye.code@outlook.com
"
90,432,"usersToUserDTOs(List<User> users){ 271 @Scheduled((eron = ""0 0 1 * * >"") - ie Ae 05:07 PM
"
83,455,"return users.streamd 272 public void removeNotActivatedUsers() { ‘te. ° ,
"
91,480,"public List<User> userDTOsToUsers(... 273 userRepository = has Saea the Live Share
"
65,512,"Y © UserServicejava a 9 274 . findAl1ByActivatedIsFalseAndCreatedDateBefore(Instant .now().minus a Session
"
81,534,"Service class for managing x 3, ChronoUnit.DAYS a .
"
82,543,"public class UserService { 275 ee a ») a Fl gsimha 05:09 PM
"
91,582,"= lonereanyos nate 576 log.debug(""Deleting not activated user {}"", user.getLogin()); === has joined the Live Share
"
82,600,"public UserService(UserRepository us... aan : del 5 tome Kerion
"
91,614,"Page<UserDTO> getAllMa ia userRepository.delete(user) ; rear
"
91,639,"* Not activated BEE should be auto. 278 this.clearUserCaches(user) ; es gsimha 05:17 PM
"
107,653,"lic void NotActivatedUser.. 279 3s —= Fl 3
"
91,682,"a ae <i. 280 } = has left the Live Share session |
"
90,721,"‘cacheManager.getCache(UserReposi.. 281
"
66,745,"> © AccountResourcejava src\m... 4) 282 /** . a
"
65,763,"Y © UsersWIControllerjava srcvm..@) 283 * @return a list of all the authorities ot
"
0,784,"$3 Controller to authenticate users. 284 */
"
66,815,"> © UserResourcejava src\main\j... (3) + + + 4G
"
10,2,"“J File Edit Selection View Go Debug Terminal Help ‘UserService java - sales-app - Visual Studio Code - oF xX
"
13,37,"& SEARCH 0 BS B_— © Gshierjava @ © UserServicejava X uy iu}) Ge & Live Share Chat one
"
77,73,"= Kae 5%? main > java > com > mycompany > myapp > service > © UserServicejava
"
0,82,"| p. = 258 return userRepository.tindOneWithAuthoritiesByld(id) ; iit
"
68,104,"Replace 48 259 } =
"
76,138,"179 results in 24 files “260 =
"
15,149,"& \ © CacheConfigurationjava sc\..@) - 261 @Transactional(readOnly = true) aie
"
91,182,"repository. UserRepository.USERS BY... 262 public Optional<User> getUserWithAuthorities() { — ;
"
12,202,"¥ repository. UserRepository.USERS BY... 263 return SecurityUtils.getCurrentUserLogin() .flatMap eee
"
65,237,"Y © UserRepository,java src\main\... (6 (userRepository: : findOneWithAuthoritiesByLogin) ; al
"
0,250,"ag String USERS BY LOGIN CACHE=""u.. 964 } ke
"
90,279,"String USERS BY_LOGIN CACHE = ""te 56.5 —
"
14,304,"Bers | | =
"
110,331,"eee = * i user i ae
"
147,331,"elses = EE a : Not activated US€FS should be automatically deleted after 3 days. ee
"
91,371,"@Cacheable(cacheNames = USERS... ape ee
"
65,376,"Vee ere (269 * This is scheduled to get fired everyday, at 01:00 (am). ie eed ey Deo oad
"
91,414,"public List<UserDTO> usersToUserD.. 270 af; — *,° eye.code@outlook.com
"
90,434,"tusersToUserDTOs(ist<User> users) 271 @Scheduled(eron = “0 0 1 * * 2"") ig we S07 om
"
91,454,"return ies tread 272 public void removeNotActivatedUsers() { ‘. : .
"
91,484,"public List<User> userDTOsToUsers(... 273 userRepository — ee
"
65,512,"Y © UserServicejava aun 9 274 . findAl1ByActivatedIsFalseAndCreatedDateBefore(Instant .now().minus a Session
"
81,534,"Service class for managing x 3, ChronoUnit.DAYS = .
"
82,543,"public class UserService { ») ad gsimha 05:09 PM
"
338,560,"275 .forEach(user -> { ee _ :
"
91,581,"Slegeatetoyastoce (ies 576 log.debug(""Deleting not activated user {}"", user.getLogin());  _.s==—— has joined the Live Share
"
92,605,"eae eat wees 277 userRepository.delete(user) ; ae session
"
91,628,"Page<UserDTO> getAllManagedUse... : s ? =a
"
91,636,"Nee Bdeina. 272 this.clearUserCaches (user) ; — = gsimha_ 05:17 PM
"
91,653,"public void removeNotActivatedUser,. 279 3)5 =—— Fl ' ;
"
118,682,"Manager <i. 280 } ere has left the Live Share session |
"
90,700,"cacheManager.getCache(UserReposi.. 281. ae
"
66,745,"> © AccountResourcejava scc\m... (44) 282 TES | & live Share Chat
"
65,762,"Y © UsersWIController,java src\ma. (4 283 * @return a list of all the authorities eee ce
"
4,784,"$33 Controller to authenticate users. 284 */
"
66,815,"> © UserResourcejava <rc\main\j... 33 ee 14 « 544
"
10,2,"“J File Edit Selection View Go Debug Terminal Help ‘UserService java - sales-app - Visual Studio Code - oF xX
"
13,37,"& SEARCH 0 & B_ © Gshierjava @ © UserServicejava uy iu}) Ge E Live Share Chat one
"
86,65,"as Kemp 5%¢ main > java > com > mycompany > myapp > service > © UserServicejava
"
0,83,"| p- = 258 return userRepository.tindOneWithAuthoritiesByld(id) 5 iii
"
68,104,"Replace a8 259 } Hie
"
76,126,"179 results in 24 files “260 sae ||
"
15,149,"& Y © CacheConfigurationjava sc\..@) - 261 @Transactional(readOnly = true) aa
"
91,178,"repository.UserRepository.USERS BY... 262 public Optional<User> getUserWithAuthorities() { a =a
"
12,202,"¥ repository. UserRepository.USERS BY... 263 return SecurityUtils.getCurrentUserLogin() .flatMap ee
"
65,237,"Y © UserRepository,java src\main\... (6 (userRepository: : findOneWithAuthoritiesByLogin) ; =
"
0,250,"ag String USERS BY LOGIN CACHE=""u.. 964 } =
"
90,279,"String USERS BY_LOGIN.CACHE= ""e965 ——
"
14,304,"rcs | | =
"
110,335,"ing USE BY} = * ; 7 f a
"
147,334,"ie(Giche Narnes = EEL 25) . Not activated §BBBS should be automatically deleted after 3 days. See
"
91,371,"@Cacheable(cacheNames = USERS... oe ee Tuesday, December 10
"
65,392,"Y © tsemanciae vane @ 209 * This is scheduled to get fired everyday, at 01:00 (am). i
"
91,418,"public List<UserDTO> usersToUserD., 270 af = ‘yy eye.code@outlook.com
"
90,430,"usersToUserDTOs(list<User> uses){ 271 @Scheduled(cron = ""0 0 1 * * 2"") i on 05:07 PM
"
84,459,"return users.stream0 272 public void removeNotActivatedUisers() { ie las carted the Live Sti
"
91,484,"public List<User> userDTOsToUsers(... 273 userRepository fae Joe fed the Live Share
"
65,512,"Y © UserServicejava Sawn 9 274 . findA11ByActivatedIsFalseAndCreatedDateBefore(Instant .now().minus a Session
"
80,534,"Service dass for managing x (3, ChronoUnit.DAYS) ) ee '
"
82,551,"public class UserService { 275 .forEach(user -> { —— Fl gsimha 05:09 PM
"
91,581,"Slegsatatoyastocse (me § 576 log.debug(“Deleting not activated user {}"", user.getLogin()); === has joined the Live Share
"
79,600,"public UserService(UserRepository us... . ‘Spereewe—— 5
"
350,612,"277 userRepository.delete(user) ; ne Session
"
91,628,"Page<UserDTO> getAllManagedUse... = en
"
91,639,"+ Not activated [BEB should be auto. 278 this.clearUserCaches(user) 5 es, . .
"
196,657,"m a 279 ys —— | gsimha 05:17 PM
"
91,675,"public void removeNotActivatedUser... 5 - . .
"
163,682,"er. <i. 280 } — has left the Live Share session |
"
90,701,"cacheManager.getCache(UserReposi.. 281 eRe
"
66,745,"> © AccountResourcejava src\m... 4 282 bist 1 a
"
65,759,"V © UsesWIControllerjava sic\na-'A) 283 * @return a list of all the authorities Message Live Share Chat
"
12,784,"$3 Controller to authenticate users. 284 */
"
66,815,"> © UserResourcejava src\main\j... 3) + + + 4G
"
10,3,"‘J File Edit Selection View Go Debug Terminal Help ‘UserService java - sales-app - Visual Studio Code - o xX
"
13,38,"& SEARCH 0 S 8B © Gshierjava @ © UserServicejava X ies Live Share Chat X “
"
77,73,"= Kemp SC? main > java > com > mycompany > myapp > service > © UserServicejava
"
0,89,"| p. = 258 return userRepository.tindOneWithAuthoritiesByld(id) ; ile
"
68,104,"Replace 48 259 } Tio —
"
76,138,"179 results in 24 files “260 -
"
3,145,"&@ Y © CacheConfigurationjava src\.. @ 261 @Transactional(readOnly = true) =o!
"
91,182,"repository.UserRepository.USERS BY... 262 public Optional<User> getUserWithAuthorities() { Le 7
"
4,198,"Bcd repository.UserRepository.USERS BY... 263 return SecurityUtils.getCurrentUserLogin() .flatMap ae !
"
65,237,"Y © UserRepository,java src\main\... (6 (userRepository: : findOneWithAuthoritiesByLogin) ; a
"
0,250,"ag String USERS BY_LOGIN.CACHE=""u.. 964 } —
"
90,279,"‘String USERS_BY_LOGIN_CACHE = “u.. 265 —— 2
"
14,303,"@ String USERS_BY_EMAIL_CACHE = “u... vy m=
"
27,316,". String USERS BY EMAIL CACHE = “iiss 70° i Ee
"
110,329,"ing USERS_BY cz * : 7 ad
"
154,334,"efcachafianes = IESE. ay . Not activated lsérs should be automatically deleted after 3 days. ee
"
91,364,"@Cacheable(cacheNames = USERS... <p> ize
"
65,376,"ele ese (269 * This is scheduled to get fired everyday, at 01:00 (am). i eeedey Deco ad
"
91,410,"public List<UserDIO> WSeBToUserD.. 272 es ae Bie eye-codecrouticakcoom
"
90,432,"usersToUserDTOs(list<User> users){ 271 @Scheduled(leron = “0 0 1 * * >"") jee | oh 05:07 PM
"
91,460,"return users.stream( 272 public void removeNotActivatedUsers() { ‘te. "" .
"
91,480,"public List<User> userDTOsToUsers(... 273 userRepository = has Saea the Live Share
"
65,512,"Y © UserServicejava a 9 274 . findAl11ByActivatedIsFalseAndCreatedDateBefore(Instant .now().minus a Session
"
81,534,"Service class for managing x 3, ChronoUnit.DAYS a .
"
82,543,"public class UserService { 275 ee a ») a Fl gsimha 05:09 PM
"
91,582,"= lonereanyos nate 576 log.debug(""Deleting not activated user {}"", user.getLogin()); === has joined the Live Share
"
82,600,"public UserService(UserRepository us... aan : del 5 tome Kerion
"
91,614,"Page<UserDTO> getAllMa ia userRepository.delete(user) ; rear
"
91,639,"* Not activated (BB should be auto. 278 this.clearUserCaches(user) ; es gsimha 05:17 PM
"
107,653,"lic void NotActivatedUser.. 279 3s —= Fl 3
"
91,682,"a ae <i. 280 } = has left the Live Share session |
"
90,721,"‘cacheManager.getCache(UserReposi.. 281
"
66,745,"> © AccountResourcejava sic\m.. 4) 282 /** . a
"
65,763,"Y © UsersWIControlerjava srcvm..@) 283 * @return a list of all the authorities ot
"
0,784,"$3 Controller to authenticate users. 284 */
"
66,815,"> © UserResourcejava src\main\j... (3) + + + 4G
"
10,0,"“J File Edit Selection View Go Debug Terminal Help LUserServicejava - sales-app - Visual Studio Code - o x
"
13,38,"& SEARCH 0 & B_— © Gshierjava @ © UserServicejava X hae = Live Share Chat oe
"
77,65,"Te Rep 5% main > java > com > mycompany > myapp > service > © UserServicejava
"
291,89,": Zu DECNAUCHUL LLY? WalageUNULNN 4e4eS — USE! -BELMuLHU seco. ss aii;
"
0,89,"| P Replace AB & 210 managedAuthorities.clear(); eae
"
76,126,"Wt ine am 210 userDT0.getAuthorities().stream() =<
"
15,149,"® eee 212 -map(authorityRepository: :findById) a
"
91,182,"repository UserRepository USERS BY. 213 - filter (Optional: :isPresent) oe ie
"
12,198,"Bs repository UserRepository USERS BY.. 214 -map(Optional: :get) al
"
65,231,"Y © UserRepository,ava src\main\..@ 215 .forEach(managedAuthorities: : add) ; =——
"
10,250,"ae ‘String USERS BY_LOGIN_CACHE=""u.. 216 this.clearUserCaches(user) ; =
"
90,279,"‘String USERS_BY_LOGIN_CACHE=""u.. 217 log.debug(""Changed Information for User: {}"", user); ——
"
14,304,"& ‘String USERS BY EMAIL.CACHE=""u.. 219 return user; a
"
90,328,"String USERS_BY_EMAIL.CACHE =U 949 2) ee
"
91,352,"@Cacheable(cacheNames = USERS. 99 -map(UserDTO: : new) ; —a
"
91,374,"@Cacheable(cacheNames = USERS. 55 : ee Tuesday, December 10
"
91,428,"x t e203 public void deleteUser(String login) { = 7a) cyecode@outiook.com
"
90,444,"uusersToUserDTOs(list<User> users) { : 5 ewe oo ""="" 05:07 PM
"
83,451,"return [Estreemo 224 userRepository.findOneByLogin(login).ifPresent(user -> { ‘= » 05%
"
91,484,"public List<User> userDTOsToUsers(.. 225 userRepository.delete(user) 5 —— has started the Live Share
"
65,505,"Y © UserServicejava sc\main\javann (8) 226 this.clearUserCaches (user) 5 a session
"
90,516,"Service dass for managing .. & X 227 log.debug(""Deleted User: {}"", user); ee
"
82,551,"public class UserService { 228 ys ae FA gsimha 05:09 PM
"
91,574,"= LoggerFactory.getLogger(UserServ... 229 } ‘ae | has joined the Live Share
"
91,605,"public UserService(UserRepository us... 3.9 fae | session
"
78,628,"Pages Uses? getAlManagedUsen. 37 public void changePassword(String currentClearTextPassword, String — |
"
100,646,"oe ReReasewone yi = wl gsimha 05:17 PM
"
91,667,"public void removeNotActivatedUser... i E = = . .
"
338,680,"232 SecurityUtils.getCurrentUserLogin() a has left the Live Share session |
"
81,692,"cacheManager.getCache(UserReposi... we : Se. ¢
"
146,712,"ee ey 233 -flatMap (userRepository: : findOneByLogin)
"
66,737,"Se nwnhactae egy 234 -ifPresent(user -> {
"
65,755,"¥ © User WiControtlerjava scm. @ 235 String currentEncryptedPassword = user.getPassword(); ""Message Live Share Chat
"
12,783,"$3 Controller to authenticate users. 236 if (!passwordEncoder.matches(currentClearTextPassword,
"
66,813,"> © UserResourcejava src\main\.. 33) currentEncryptedPassword)) {
"
10,2,"*J File Edit Selection View Go Debug Terminal Help ‘e UserService java - sales-app - Visual Studio Code - a x
"
13,39,"& SEARCH 0 BS A © Gshierjava @ © UserServicejava © hag- E Live Share Chat oe
"
67,71,"Users Sn ts eae Zico 7 esconnpenn 2 mryape ees © Uneioernensne ug erearay  ucre teem Cer cays a
"
0,89,"| po Replace em «—-268 * <p> a
"
76,132,". 269 * This is scheduled to get fired everyday, at 01:00 (am). i=
"
7,139,"te eccrees in 24 files ; aT6 */ =
"
91,171,"Tectonics te. 272 @scheduled(cron = “0 0.1 * * 2"") =-
"
12,202,"e reposnonsctepesnoy Mey. 272 public void removeNotActivatedUsers() { io
"
65,229,"Y © UserRepository,java sic\main\..(@) 273 userRepository =
"
0,250,"ag String USERS BY_LOGIN.CACHE=""u.. 274 - findAl11ByActivatedIsFalseAndCreatedDateBefore(Instant.now().minus “=~
"
90,279,"String USERS_BY_LOGIN_CACHE = “ua. (3, ChronoUnit .DAYS)) ——
"
14,303,"@ String USERS_BY_EMAIL.CACHE=""u... 275 .forEach(user -> { =
"
90,328,"String USERS BY_EMAILCACHE=""Un. 276 log.debug(|""Deleting not activated for user] {}"", user.getLogin() (===
"
91,352,"@Cacheable(cacheNames = USERS... Ds —
"
91,374,"@CacheablelcacheNames = USERS... 977 userRepository.delete(user) ; ee Tuesday, December 10
"
65,400,"© Olntixer ies esti QD 279 this.clearUserCaches (user) ; —-
"
81,417,"Public List<UserDTO> usersToUserD.. aa y; nce a eye.code@outlook.com
"
90,444,"usersToUserDTOs(list<User> Users) { 2 “Sec | ""°™ 05:07PM
"
84,457,"return users.streamd 200 3 ; °
"
91,484,"public List<User> userDTOsToUsers(.. 221 peer has started the Live Share
"
65,501,"VY © UserServicejava src\main\java... (9 282 Jail oe session
"
90,516,"Service class for managing. @ x 283 * @return a list of all the authorities | =
"
82,549,"public class UserService { 284 */ = rl gsimha 05:09 PM
"
91,578,"= LoggerFactory.getlogger(UserSev.. 285 public List<String> getAuthorities() { —— has joined the Live Share
"
91,605,"Public UserService(UserRepository us... 236 return authorityRepository.findAll().stream().map(Authority::getName) “=== oust
"
91,624,"oe eee -collect(Collectors.toList()); —~ |
"
91,652,"= at auto... SS i =
"
91,653,"public void removeNotActivatedUser... ay } == Fl sone oe EM |
"
90,683,"each negenoet Cs heeartiepoe = 288 . . Seren has left the Live Share session |
"
152,704,"ae 289 private void clearUserCaches(User user) { _——e
"
66,724,"ie jononeesee wim. @ 222 Objects .requireNonNull (cacheManager .getCache i :
"
65,758,"Y © UseWiControlierjava scm... (UserRepository.USERS BY LOGIN CACHE)).evict(user.getLogin()); Message Live Share Chat
"
12,782,"Ed Controller to authenticate users. 291 Objects . requireNonNull (cacheManager .getCache
"
66,808,"> © UserResourcejava src\main\.. 33) (UserRepository .USI 2S _BY_EMAIL_CACHE)).evict(user.getEmail());
"
10,0,"“J File Edit Selection View Go Debug Terminal Help ‘UserService java - sales-app - Visual Studio Code = ff
"
13,37,"& SEARCH 0 BS B_— © Gshierjava @ © UserServicejava noe & Live Share Chat one
"
77,73,"= AS REG > main > java > com > mycompany > myapp > service > © UserServicejava _
"
0,81,"| py 258 return userRepository.tindOneWithAuthoritiesBy1d(id) ; iii
"
67,109,"Replace 48 259 } ie
"
76,138,"179 results in 24 files “260 =
"
14,145,"%® Y © CacheConfigurationjava src\.. 2 261 @Transactional(readOnly = true) =a
"
91,182,"repository. UserRepository.USERS BY... 262 public Optional<User> getUserWithAuthorities() { =""
"
12,202,"¥ repository.UserRepository.USERS BY... 263 return SecurityUtils.getCurrentUserLogin().flatMap ee
"
26,231,"oY © WerRepostonjaa main. 6 (userRepository: : findOneWithAuthoritiesByLogin); =
"
12,258,"a String USERS BY_LOGIN.CACHE=""u.. 964 } t=
"
90,279,"String USERS BY_LOGIN.CACHE = ""tke 96.5 ——-
"
14,304,"& String USERS_BY_EMAIL_CACHE = = Ace pe ime
"
90,328,"Geomueiahnasar ESE = 267 * Not activated i$er8 should be automatically deleted after 3 days. —
"
250,368,"S 268 * <p> =,
"
65,376,"v a 269 * This is scheduled to get fired everyday, at 01:00 (am). = eesdey Deo oad
"
91,418,"Sc iemn Mien) 270 */ ie al|||) ees eyecodcq@outioct com
"
90,434,"sersToUserDTOs(list<User> users){ 271 @Scheduled(leron = “o 0 1 * * aie ie we S07 om
"
83,453,"ren RE oreo 272 public void removeNotActivatedUsers() { . ° .
"
91,484,"public List<User> userDTOsToUsers(... 273 userRepository — ee
"
65,512,"Y © UserServicejava aun 9 274 . findA11ByActivatedIsFalseAndCreatedDateBefore(Instant .now().minus a session
"
81,534,"Service class for managing x 3, ChronoUnit.DAYS = .
"
84,543,"Public class UserService{ 275 Cae es y: = Fl gamba 05 02EM
"
91,581,"Slegeatecoyastoce (mes 576 log.debug(“Deleting not activated user {}"", user.getLogin()); === has joined the Live Share
"
90,605,"public Eigeviee(sefepeston/us- 57 userRepository.delete(user) ; — session
"
91,619,"Page<UserDTO> getAllManagedUse... = Ps y-cerete(usen)# (oetnanae
"
91,635,"Meese 278 this.clearUserCaches (user); ae, aaa OTe
"
91,653,"public void removeNotActivatedUser.. 279 #5 ——, Fl gst - |
"
90,682,"CodeManagergtCathe(saficpos 280 } ———— |e has left the Live Share session |
"
90,706,"cacheManager.getCache(UserReposi.. 281 a
"
66,742,"> © AccountResourcejava src\m... 14 282 bist 1 ive Sh fe
"
65,760,"Y © UserwiControtierjava srem.@) 283 * @return a list of all the authorities Mee ee eciae
"
4,785,"Fey Controller to authenticate users. 284 */
"
66,815,"> © UserResourcejava scc\main\j.. 3) ee 14 « 544
"
10,2,"™J File Edit Selection View Go Debug Terminal Help UserService java - sales-app - Visual Studio Code - og x
"
13,39,"& SEARCH 0 S 8B © Gshierjava @ © UserServicejava X noe Live Share Chat X “
"
77,73,"= Kemp 5%¢> main > java > com > mycompany > myapp > service > © UserServicejava
"
0,89,"| p. = 258 return userRepository.tindOneWithAuthoritiesByld(id) ; ile
"
69,108,"beet a 2 } ibe
"
76,138,"179 results in 24 files “260 =
"
15,149,"& Y © CacheConfigurationjava src\.. 261 @Transactional(readOnly = true) —— ae
"
91,182,"repository. UserRepository.USERS BY... 262 public Optional<User> getUserWithAuthorities() { —
"
4,198,"Bcd repository.UserRepository.USERS BY... 263 return SecurityUtils.getCurrentUserLogin() .flatMap ae !
"
65,237,"Y © UserRepository,java src\main\... (6 (userRepository: : findOneWithAuthoritiesByLogin) ; —
"
26,254,"5 —
"
3,254,"as String USERS BY LOGIN CACHE=""u.. 964 } a
"
90,278,"‘String USERS_BY_LOGIN_CACHE = Bel 265 —— a
"
14,304,"eer | | im
"
110,335,"ing USERS_BY = * : i ee
"
157,335,"cicachonianes < EEE = ze . Not activated iSérs should be automatically deleted after 3 days. ia
"
91,364,"@Cacheable(cacheNames = USERS... <p> ize
"
65,376,"ele ese (269 * This is scheduled to get fired everyday, at 01:00 (am). i eeedey Deco ad
"
91,414,"public List<UserDTO> usersToUserD.. 270 ef. = ‘4° eye.code@outlook.com
"
90,432,"tsersTolNerDTOs(ist<Use> Ie { 271 @Scheduled(eron = ""@ @ 1 * * >"") ae wa 05:07 PM
"
84,457,"return users stream) 272 public void removeNotActivatedUsers() { ‘te ° ;
"
91,480,"public List<User> userDTOsToUsers(... 273 userRepository are has Saea the Live Share
"
65,512,"Y © UserService,java eae 9 274 . findAl1ByActivatedIsFalseAndCreatedDateBefore(Instant .now().minus a Session
"
90,539,"Seoace cies onan Ba es (3, Chronounit.DAYS)) eee .
"
82,551,"public class UserService { 275 .forEach(user -> { —— Fl combs 05:09 EM
"
91,580,"=legat ion gaiooge (mien 576 log.debug(""Deleting not activated user {}"", user.getLogin()); | _.====— has joined the Live Share |
"
82,599,"public UserService(UserRepository us... : ae s
"
84,614,"Page<UserDTO> getAllMa ia 277 userRepository.delete(user) ; rear Session
"
91,637,"* Not sctvated IIB should be auto.. 278 this.clearUserCaches (user) 5 ee ="" gsimha 05:17 2M
"
91,653,"public void removeNotActivatedUser... 2/9 3)3 bad = Fl has left the Live Sh ; |
"
90,690,"cacheManager.getCache(UserReposi... 280 y somes — oe jas left the Live Share session
"
90,721,"cacheManager.getCache(UserReposi.. 281
"
66,745,"> © AccountResourcejava src\m.. 282 /** | eee
"
65,763,"Y © UsersWIControlerjava srcvm..@) 283 * @return a list of all the authorities ot
"
0,785,"Ee Controller to authenticate users. 284 */
"
66,815,"> © UserResourcejava src\main\j... (3) . + < saa
"
10,3,"‘J File Edit Selection View Go Debug Terminal Help ‘UserService java - sales-app - Visual Studio Code - o xX
"
13,38,"& SEARCH 0 S 8B © Gshierjava @ © UserServicejava X ies Live Share Chat X “
"
77,73,"= Kemp SC? main > java > com > mycompany > myapp > service > © UserServicejava
"
0,89,"| p. = 258 return userRepository.tindOneWithAuthoritiesByld(id) ; ile
"
68,104,"Replace 48 259 } Tio —
"
76,138,"179 results in 24 files “260 -
"
3,145,"&@ Y © CacheConfigurationjava src\.. @ 261 @Transactional(readOnly = true) =o!
"
91,182,"repository.UserRepository.USERS BY... 262 public Optional<User> getUserWithAuthorities() { Le 7
"
12,202,"% repository. UserRepository.USERS BY... 263 return SecurityUtils.getCurrentUserLogin() .flatMap a
"
65,237,"Y © UserRepository,java src\main\... (6 (userRepository: : findOneWithAuthoritiesByLogin) ; a
"
0,250,"ag String USERS BY_LOGIN.CACHE=""u.. 964 } —
"
90,279,"‘String USERS_BY_LOGIN_CACHE = “u.. 265 —— 2
"
14,304,"ee eee || =
"
110,329,"ing USERS_BY cz * ; q ad
"
154,334,"efcachafianes = IESE. ay . Not activated USérs should be automatically deleted after 3 days. ee
"
91,371,"@Cacheable(cacheNames = USERS... She ee
"
65,376,"ele ese (269 * This is scheduled to get fired everyday, at 01:00 (am). = eeedey Deco ad
"
91,414,"public List<UserDTO> usersToUserD.. 270 ay, : : = Boa eye.code@outlook.com
"
90,438,"usersToUserDTOs(List<User> users){ 271 @Scheduled(cron = “0 0 1 * * ? ie ee) caren
"
91,460,"return users.stream( 272 public void removeNotActivatedUsers() { ‘te. "" .
"
91,480,"public List<User> userDTOsToUsers(... 273 userRepository = has Saea the Live Share
"
65,512,"Y © UserServicejava a 9 274 . findAl11ByActivatedIsFalseAndCreatedDateBefore(Instant .now().minus a Session
"
81,534,"Service class for managing x 3, ChronoUnit.DAYS a .
"
84,543,"Public dass UserService { 275 eres a 2 — Fl gsimha 05:09 PM
"
91,581,"= lonereanyos nate 576 log debug (sbeleting noe activated user/{) user: getlosin()); an see has joined the Live Share
"
82,600,"public UserService(UserRepository us... aan : del 5 tome Kerion
"
